"Acc_name","Syn"
"Perimyotis subflavus","Pipistrellus subflavus"
"Peromyscus maniculatus","Peromyscus maniculatus bairdii"
"Baeolophus bicolor","Baeolophus bicolor bicolor"
"Baeolophus bicolor","Parus bicolor"
"Poecile carolinensis","Parus carolinensis"
"Dendroica palmarum","Dendroica palmarum palmarum"
"Helmitheros vermivorum","Helmitheros vermivorus"
"Seiurus aurocapilla","Seiurus aurocapillus"
"Colaptes auratus","Colaptes auratus auratus"
"Megascops asio","Otus asio"
"Elaphe spiloides","Elaphe obsoleta"
"Pseudacris feriarum","Pseudacris triseriata feriarum"
"Pseudotriton diastictus","Pseudotriton montanus diastictus"
"Chaerophyllum tainturieri","Chaerophyllum tainturieri tainturieri"
"Thaspium barbinode","Thaspium barbinode angustifolium"
"Aralia racemosa","Aralia racemosa ssp. racemosa"
"Ilex opaca","Ilex opaca opaca"
"Allium vineale","Allium vineale ssp. vineale"
"Maianthemum racemosum","Maianthemum racemosum ssp. racemosum"
"Maianthemum racemosum","Smilacina racemosa"
"Polygonatum biflorum","Polygonatum biflorum commutatum"
"Cypripedium parviflorum","Cypripedium parviflorum pubescens"
"Ageratina altissima","Ageratina altissima altissima"
"Ageratina altissima","Eupatorium rugosum"
"Ambrosia trifida","Ambrosia trifida trifida"
"Antennaria parlinii","Antennaria parlinii ssp. parlinii"
"Artemisia vulgaris","Artemisia vulgaris vulgaris"
"Coreopsis tinctoria","Coreopsis tinctoria tinctoria"
"Erechtites hieraciifolia","Erechtites hieraciifolia hieraciifolia"
"Erigeron pulchellus","Erigeron pulchellus pulchellus"
"Eupatorium hyssopifolium","Eupatorium hyssopifolium laciniatum"
"Eupatorium rotundifolium","Eupatorium rotundifolium ovatum"
"Eupatorium sessilifolium","Eupatorium sessilifolium sessilifolium"
"Leucanthemum vulgare","Chrysanthemum leucanthemum"
"Liatris squarrosa","Liatris squarrosa squarrosa"
"Liatris squarrosa","Liatris squarrosa hirsuta"
"Packera glabella","Senecio glabellus"
"Parthenium integrifolium","Parthenium integrifolium integrifolium"
"Pseudognaphalium obtusifolium","Pseudognaphalium obtusifolium ssp. obtusifolium"
"Rudbeckia laciniata","Rudbeckia laciniata laciniata"
"Silphium trifoliatum","Silphium trifoliatum trifoliatum"
"Solidago missouriensis","Solidago missouriensis fasciculata"
"Solidago odora","Solidago odora odora"
"Solidago rugosa","Solidago rugosa ssp. rugosa rugosa"
"Solidago rugosa","Solidago rugosa rugosa"
"Solidago ulmifolia","Solidago ulmifolia ulmifolia"
"Symphyotrichum dumosum","Symphyotrichum dumosum dumosum"
"Symphyotrichum ontarione","Aster ontarionis"
"Symphyotrichum pilosum","Aster pilosus"
"Symphyotrichum pilosum","Symphyotrichum pilosum pilosum"
"Taraxacum officinale","Taraxacum officinale ssp. officinale"
"Verbesina virginica","Verbesina virginica virginica"
"Campanulastrum americanum","Campanula americana"
"Lobelia siphilitica","Lobelia siphilitica siphilitica"
"Lobelia spicata","Lobelia spicata spicata"
"Cynoglossum virginianum","Cynoglossum virginianum virginianum"
"Lepidium virginicum","Lepidium virginicum virginicum"
"Cerastium fontanum","Cerastium fontanum ssp. vulgare"
"Cerastium nutans","Cerastium nutans nutans"
"Phytolacca americana","Phytolacca americana americana"
"Polygonum caespitosum","Polygonum caespitosum longisetum"
"Polygonum punctatum","Polygonum punctatum confertiflorum"
"Celastrus orbiculatus","Celastrus orbiculata"
"Euonymus americana","Euonymus americanus"
"Euonymus atropurpurea","Euonymus atropurpureus"
"Euonymus fortunei","Euonymus fortunei radicans"
"Euonymus obovata","Euonymus obovatus"
"Commelina communis","Commelina communis communis"
"Sambucus nigra","Sambucus nigra ssp. canadensis"
"Sambucus nigra","Sambucus canadensis"
"Equisetum hyemale","Equisetum hyemale affine"
"Phlox divaricata","Phlox di cata ssp. di cata"
"Cercis canadensis","Cercis canadensis canadensis"
"Chamaecrista fasciculata","Chamaecrista fasciculata fasciculata"
"Desmodium cuspidatum","Desmodium cuspidatum cuspidatum"
"Desmodium paniculatum","Desmodium paniculatum paniculatum"
"Lespedeza hirta","Lespedeza hirta ssp. hirta"
"Medicago sativa","Medicago sativa ssp. sativa"
"Melilotus albus","Melilotus alba"
"Orbexilum pedunculatum","Orbexilum pedunculatum pedunculatum"
"Carpinus caroliniana","Carpinus caroliniana ssp. caroliniana"
"Quercus coccinea","Quercus coccinea coccinea"
"Quercus rubra","Quercus rubra rubra"
"Carya ovata","Carya ovata"
"Galium circaezans","Galium circaezans hypomalacum"
"Galium circaezans","Galium circaezans circaezans"
"Galium obtusum","Galium obtusum ssp. obtusum"
"Galium pilosum","Galium pilosum pilosum"
"Houstonia caerulea","Hedyotis caerulea"
"Houstonia purpurea","Houstonia purpurea purpurea"
"Blephilia hirsuta","Blephilia hirsuta hirsuta"
"Monarda fistulosa","Monarda fistulosa mollis"
"Monarda fistulosa","Monarda fistulosa ssp. fistulosa mollis"
"Pycnanthemum pycnanthemoides","Pycnanthemum pycnanthemoides pycnanthemoides"
"Scutellaria ovata","Scutellaria ovata ssp. ovata"
"Teucrium canadense","Teucrium canadense canadense"
"Pedicularis canadensis","Pedicularis canadensis ssp. canadensis"
"Veronica officinalis","Veronica officinalis officinalis"
"Erythronium umbilicatum","Erythronium umbilicatum ssp. umbilicatum"
"Croton capitatus","Croton capitatus capitatus"
"Hypericum hypericoides","Hypericum hypericoides ssp. multicaule"
"Linum medium","Linum medium texanum"
"Linum sulcatum","Linum sulcatum sulcatum"
"Viola canadensis","Viola canadensis canadensis"
"Viola palmata","Viola palmata palmata"
"Viola palmata","Viola X palmata"
"Viola pubescens","Viola pubescens pubescens"
"Viola pubescens","Viola pubescens scabriuscula"
"Tilia americana","Tilia americana americana"
"Circaea lutetiana","Circaea lutetiana ssp. canadensis"
"Circaea lutetiana","Circaea quadrisulcata"
"Osmunda cinnamomea","Osmunda cinnamomea cinnamomea"
"Oxalis stricta","Oxalis dillenii"
"Juniperus virginiana","Juniperus virginiana virginiana"
"Carex albicans","Carex albicans albicans"
"Carex laxiculmis","Carex laxiculmis laxiculmis"
"Carex muehlenbergii","Carex muehlenbergii muehlenbergii"
"Carex tonsa","Carex rugosperma"
"Carex tonsa","Carex tonsa rugosperma"
"Andropogon gyrans","Andropogon gyrans gyrans"
"Andropogon virginicus","Andropogon virginicus virginicus"
"Arundinaria gigantea","Arundinaria gigantea ssp. gigantea"
"Dactylis glomerata","Dactylis glomerata ssp. glomerata"
"Dichanthelium acuminatum","Dichanthelium acuminatum acuminatum"
"Dichanthelium dichotomum","Dichanthelium dichotomum dichotomum"
"Dichanthelium ovale","Dichanthelium ovale addisonii"
"Dichanthelium ovale","Dichanthelium ovale ovale"
"Dichanthelium sphaerocarpon","Dichanthelium sphaerocarpon isophyllum"
"Elymus virginicus","Elymus virginicus virginicus"
"Festuca trachyphylla","Festuca ovina"
"Lolium pratense","Festuca elatior"
"Paspalum setaceum","Paspalum setaceum muehlenbergii"
"Setaria pumila","Setaria glauca"
"Tridens flavus","Tridens flavus flavus"
"Pteridium aquilinum","Pteridium aquilinum latiusculum"
"Polystichum acrostichoides","Polystichum acrostichoides acrostichoides"
"Thelypteris palustris","Thelypteris palustris pubescens"
"Actaea racemosa","Cimicifuga racemosa"
"Actaea racemosa","Actaea racemosa racemosa"
"Anemone virginiana","Anemone virginiana virginiana"
"Hepatica nobilis","Hepatica nobilis acuta"
"Elaeagnus umbellata","Elaeagnus umbellata parvifolia"
"Morus rubra","Morus rubra rubra"
"Frangula caroliniana","Rhamnus caroliniana"
"Amelanchier arborea","Amelanchier arborea arborea"
"Fragaria virginiana","Fragaria virginiana ssp. virginiana"
"Geum canadense","Geum canadense canadense"
"Prunus serotina","Prunus serotina serotina"
"Rosa carolina","Rosa carolina carolina"
"Waldsteinia fragarioides","Waldsteinia fragarioides ssp. fragarioides"
"Rhus aromatica","Rhus aromatica aromatica"
"Rhus copallinum","Rhus copallinum latifolia"
"Toxicodendron radicans","Rhus radicans"
"Aesculus glabra","Aesculus glabra glabra"
"Heuchera americana","Heuchera americana americana"
"Physalis heterophylla","Physalis heterophylla heterophylla"
"Physalis virginiana","Physalis virginiana virginiana"
"Solanum carolinense","Solanum carolinense carolinense"
"Vitis cinerea","Vitis cinerea cinerea"
"Lynx rufus","Felis rufus"
"Mephitis mephitis","Mephitis mephitis hudsonica"
"Taxidea taxus","Taxidea taxus taxus"
"Myotis ciliolabrum","Myotis leibii"
"Myotis lucifugus","Myotis lucifugus carissima"
"Myotis septentrionalis","Myotis keenii"
"Microtus ochrogaster","Pitymys ochrogaster haydeni"
"Microtus ochrogaster","Microtus ochrogaster haydenii"
"Neotoma cinerea","Neotoma cinerea rupicola"
"Reithrodontomys megalotis","Reithrodontomys megalotis dychei"
"Erethizon dorsatum","Erethizon dorsatum epixanthum"
"Geomys bursarius","Geomys lutescens lutescens"
"Chaetodipus hispidus","Perognathus hispidus"
"Dipodomys ordii","Dipodomys ordii luteolus"
"Dipodomys ordii","Dipodomys ordii richardsoni"
"Spermophilus tridecemlineatus","Spermophilus tridecemlineatus pallidus"
